Rank,Player,Position,Team,Tag
1,"Ja'Marr Chase",WR,"CIN","Tier 1"
2,"Jahmyr Gibbs",RB,"DET","Tier 1"
3,"Puka Nacua",WR,"LAR","Tier 1"
4,"Bijan Robinson",RB,"ATL","Tier 1"
5,"Jaxon Smith-Njigba",WR,"SEA","Tier 1"
6,"Amon-Ra St. Brown",WR,"DET","Tier 1"
7,"CeeDee Lamb",WR,"DAL","Tier 2"
8,"Justin Jefferson",WR,"MIN","Tier 2"
9,"Christian McCaffrey",RB,"SF","Tier 1"
10,"Jonathan Taylor",RB,"IND","Tier 2"
11,"Drake London",WR,"ATL","Tier 2"
12,"A.J. Brown",WR,"NE","Tier 2"
13,"James Cook III",RB,"BUF","Tier 2"
14,"Nico Collins",WR,"HOU","Tier 3"
15,"Chase Brown",RB,"CIN","Tier 2"
16,"Chris Olave",WR,"NO","Tier 3"
17,"Trey McBride",TE,"ARI","Tier 1"
18,"George Pickens",WR,"DAL","Tier 3"
19,"Brock Bowers",TE,"LV","Tier 1"
20,"De'Von Achane",RB,"MIA","Tier 2"
21,"DeVonta Smith",WR,"PHI","Tier 3"
22,"Saquon Barkley",RB,"PHI","Tier 2"
23,"Malik Nabers",WR,"NYG","Tier 3"
24,"Kenneth Walker III",RB,"KC","Tier 2"
25,"Omarion Hampton",RB,"LAC","Tier 2"
26,"Josh Allen",QB,"BUF","Tier 1"
27,"Rashee Rice",WR,"KC","Tier 3"
28,"Ashton Jeanty",RB,"LV","Tier 3"
29,"Garrett Wilson",WR,"NYJ","Tier 3"
30,"Zay Flowers",WR,"BAL","Tier 3"
31,"Lamar Jackson",QB,"BAL","Tier 1"
32,"Ladd McConkey",WR,"LAC","Tier 3"
33,"Jaylen Waddle",WR,"DEN","Tier 4"
34,"Tetairoa McMillan",WR,"CAR","Tier 4"
35,"Colston Loveland",TE,"CHI","Tier 1"
36,"Tee Higgins",WR,"CIN","Tier 4"
37,"Drake Maye",QB,"NE","Tier 1"
38,"Derrick Henry",RB,"BAL","Tier 3"
39,"Breece Hall",RB,"NYJ","Tier 3"
40,"Jeremiyah Love",RB,"ARI","Tier 3"
41,"Emeka Egbuka",WR,"TB","Tier 4"
42,"Kyren Williams",RB,"LAR","Tier 3"
43,"Javonte Williams",RB,"DAL","Tier 3"
44,"Travis Etienne Jr.",RB,"NO","Tier 4"
45,"Joe Burrow",QB,"CIN","Tier 2"
46,"Luther Burden III",WR,"CHI","Tier 4"
47,"Terry McLaurin",WR,"WAS","Tier 4"
48,"Davante Adams",WR,"LAR","Tier 4"
49,"D'Andre Swift",RB,"CHI","Tier 4"
50,"DJ Moore",WR,"BUF","Tier 4"
51,"Jameson Williams",WR,"DET","Tier 4"
52,"Tyler Warren",TE,"IND","Tier 1"
53,"Jayden Daniels",QB,"WAS","Tier 2"
54,"Christian Watson",WR,"GB","Tier 5"
55,"Bucky Irving",RB,"TB","Tier 4"
56,"Cam Skattebo",RB,"NYG","Tier 4"
57,"Jalen Hurts",QB,"PHI","Tier 2"
58,"Rome Odunze",WR,"CHI","Tier 5"
59,"Mike Evans",WR,"SF","Tier 5"
60,"Parker Washington",WR,"JAC","Tier 5"
61,"David Montgomery",RB,"HOU","Tier 4"
62,"Quinshon Judkins",RB,"CLE","Tier 4"
63,"Caleb Williams",QB,"CHI","Tier 2"
64,"Bhayshul Tuten",RB,"JAC","Tier 4"
65,"Jadarian Price",RB,"SEA","Tier 4"
66,"Carnell Tate",WR,"TEN","Tier 5"
67,"Marvin Harrison Jr.",WR,"ARI","Tier 5"
68,"TreVeyon Henderson",RB,"NE","Tier 4"
69,"Justin Herbert",QB,"LAC","Tier 2"
70,"Chris Godwin Jr.",WR,"TB","Tier 5"
71,"Rhamondre Stevenson",RB,"NE","Tier 5"
72,"Jaylen Warren",RB,"PIT","Tier 5"
73,"Harold Fannin Jr.",TE,"CLE","Tier 2"
74,"Trevor Lawrence",QB,"JAC","Tier 2"
75,"Dak Prescott",QB,"DAL","Tier 2"
76,"Tucker Kraft",TE,"GB","Tier 2"
77,"Kyle Pitts Sr.",TE,"ATL","Tier 2"
78,"DK Metcalf",WR,"PIT","Tier 5"
79,"Brian Thomas Jr.",WR,"JAC","Tier 5"
80,"Michael Pittman Jr.",WR,"PIT","Tier 5"
81,"Tony Pollard",RB,"TEN","Tier 5"
82,"Wan'Dale Robinson",WR,"TEN","Tier 5"
83,"Courtland Sutton",WR,"DEN","Tier 5"
84,"Sam LaPorta",TE,"DET","Tier 2"
85,"Carson Schwesinger",LB,"CLE","IDP LB"
86,"Rico Dowdle",RB,"PIT","Tier 5"
87,"Josh Downs",WR,"IND","Tier 5"
88,"Michael Wilson",WR,"ARI","Tier 5"
89,"Cedric Gray",LB,"TEN","IDP LB"
90,"Jonathon Brooks",RB,"CAR","Tier 5"
91,"Stefon Diggs",WR,"WAS","Tier 6"
92,"Quentin Johnston",WR,"LAC","Tier 6"
93,"Zack Baun",LB,"PHI","IDP LB"
94,"RJ Harvey",RB,"DEN","Tier 5"
95,"Brock Purdy",QB,"SF","Tier 3"
96,"Jaxson Dart",QB,"NYG","Tier 3"
97,"Jordyn Brooks",LB,"MIA","IDP LB"
98,"Travis Kelce",TE,"KC","Tier 3"
99,"George Kittle",TE,"SF","Tier 3"
100,"Jack Campbell",LB,"DET","IDP LB"
101,"Bo Nix",QB,"DEN","Tier 3"
102,"Kenny Gainwell",RB,"TB","Tier 5"
103,"Alec Pierce",WR,"IND","Tier 6"
104,"Jamien Sherwood",LB,"NYJ","IDP LB"
105,"Chuba Hubbard",RB,"CAR","Tier 5"
106,"J.K. Dobbins",RB,"DEN","Tier 5"
107,"Jayden Reed",WR,"GB","Tier 6"
108,"Quay Walker",LB,"LVR","IDP LB"
109,"Patrick Mahomes II",QB,"KC","Tier 3"
110,"Jared Goff",QB,"DET","Tier 3"
111,"MarShawn Lloyd",RB,"GB","Tier 5"
112,"Fred Warner",LB,"SF","IDP LB"
113,"Matthew Stafford",QB,"LAR","Tier 3"
114,"Jakobi Meyers",WR,"JAC","Tier 6"
115,"Jordan Addison",WR,"MIN","Tier 6"
116,"Edgerrin Cooper",LB,"GB","IDP LB"
117,"Makai Lemon",WR,"PHI","Tier 6"
118,"Blake Corum",RB,"LAR","Tier 5"
119,"KC Concepcion",WR,"CLE","Tier 6"
120,"Blake Cashman",LB,"MIN","IDP LB"
121,"Dalton Kincaid",TE,"BUF","Tier 3"
122,"Rachaad White",RB,"WAS","Tier 5"
123,"Roquan Smith",LB,"BAL","IDP LB"
124,"Jordan Mason",RB,"MIN","Tier 5"
125,"Kyler Murray",QB,"MIN","Tier 4"
126,"Jacory Croskey-Merritt",RB,"WAS","Tier 5"
127,"Foyesade Oluokun",LB,"JAC","IDP LB"
128,"Jordan Love",QB,"GB","Tier 4"
129,"Aaron Jones Sr.",RB,"MIN","Tier 6"
130,"Isaiah Likely",TE,"NYG","Tier 3"
131,"Robert Spillane",LB,"NE","IDP LB"
132,"Baker Mayfield",QB,"TB","Tier 4"
133,"Jake Ferguson",TE,"DAL","Tier 3"
134,"Kyle Monangai",RB,"CHI","Tier 6"
135,"Devin Lloyd",LB,"CAR","IDP LB"
136,"Dallas Goedert",TE,"PHI","Tier 3"
137,"Khalil Shakir",WR,"BUF","Tier 6"
138,"De'Zhaun Stribling",WR,"SF","Tier 6"
139,"T.J. Edwards",LB,"CHI","IDP LB"
140,"Matthew Golden",WR,"GB","Tier 6"
141,"Jalen Coker",WR,"CAR","Tier 6"
142,"Tyler Shough",QB,"NO","Tier 4"
143,"Ernest Jones",LB,"SEA","IDP LB"
144,"Romeo Doubs",WR,"NE","Tier 6"
145,"Malik Willis",QB,"MIA","Tier 4"
146,"Juwan Johnson",TE,"NO","Tier 3"
147,"Nakobe Dean",LB,"LVR","IDP LB"
148,"Xavier Worthy",WR,"KC","Tier 6"
149,"Mark Andrews",TE,"BAL","Tier 3"
150,"Jacob Rodriguez",LB,"MIA","IDP LB"
151,"Woody Marks",RB,"HOU","Tier 6"
152,"Tyler Allgeier",RB,"ARI","Tier 6"
153,"Sam Darnold",QB,"SEA","Tier 4"
154,"Devin Bush",LB,"CHI","IDP LB"
155,"Tyjae Spears",RB,"TEN","Tier 6"
156,"Deebo Samuel Sr.",WR,"SF","Tier 6"
157,"Chris Rodriguez Jr.",RB,"JAC","Tier 6"
158,"Daiyan Henley",LB,"LAC","IDP LB"
159,"C.J. Stroud",QB,"HOU","Tier 4"
160,"Daniel Jones",QB,"IND","Tier 4"
161,"Rashid Shaheed",WR,"SEA","Tier 6"
162,"Nick Bolton",LB,"KC","IDP LB"
163,"Dylan Sampson",RB,"CLE","Tier 6"
164,"Jonah Coleman",RB,"DEN","Tier 6"
165,"Keaton Mitchell",RB,"LAC","Tier 6"
166,"Nathan Landman",LB,"LAR","IDP LB"
167,"Mike Washington Jr.",RB,"LV","Tier 6"
168,"Denzel Boston",WR,"CLE","Tier 7"
169,"Zach Charbonnet",RB,"SEA","Tier 6 / Out"
170,"Tremaine Edmunds",LB,"NYG","IDP LB"
171,"Cam Ward",QB,"TEN","Tier 4"
172,"Brenton Strange",TE,"JAC","Tier 4"
173,"Alex Singleton",LB,"DEN","IDP LB"
174,"Dalton Schultz",TE,"HOU","Tier 4"
175,"Tre Tucker",WR,"LV","Tier 7"
176,"Chig Okonkwo",TE,"WAS","Tier 4"
177,"Terrel Bernard",LB,"BUF","IDP LB"
178,"Hunter Henry",TE,"NE","Tier 4"
179,"Alvin Kamara",RB,"NO","Tier 6"
180,"Adonai Mitchell",WR,"NYJ","Tier 7"
